code,description,hcc_v24,hcc_v28,is_specific,parent,children
S31.65AD,"Open bite of abdominal wall, unspecified flank with penetration into peritoneal cavity, subsequent encounter",,,true,,,
S31.65AS,"Open bite of abdominal wall, unspecified flank with penetration into peritoneal cavity, sequela",,,true,,,
S31.801A,"Laceration without foreign body of unspecified buttock, initial encounter",,,true,,,
S31.801D,"Laceration without foreign body of unspecified buttock, subsequent encounter",,,true,,,
S31.801S,"Laceration without foreign body of unspecified buttock, sequela",,,true,,,
S31.802A,"Laceration with foreign body of unspecified buttock, initial encounter",,,true,,,
S31.802D,"Laceration with foreign body of unspecified buttock, subsequent encounter",,,true,,,
S31.802S,"Laceration with foreign body of unspecified buttock, sequela",,,true,,,
S31.803A,"Puncture wound without foreign body of unspecified buttock, initial encounter",,,true,,,
S31.803D,"Puncture wound without foreign body of unspecified buttock, subsequent encounter",,,true,,,
S31.803S,"Puncture wound without foreign body of unspecified buttock, sequela",,,true,,,
S31.804A,"Puncture wound with foreign body of unspecified buttock, initial encounter",,,true,,,
S31.804D,"Puncture wound with foreign body of unspecified buttock, subsequent encounter",,,true,,,
S31.804S,"Puncture wound with foreign body of unspecified buttock, sequela",,,true,,,
S31.805A,"Open bite of unspecified buttock, initial encounter",,,true,,,
S31.805D,"Open bite of unspecified buttock, subsequent encounter",,,true,,,
S31.805S,"Open bite of unspecified buttock, sequela",,,true,,,
S31.809A,"Unspecified open wound of unspecified buttock, initial encounter",,,true,,,
S31.809D,"Unspecified open wound of unspecified buttock, subsequent encounter",,,true,,,
S31.809S,"Unspecified open wound of unspecified buttock, sequela",,,true,,,
S31.811A,"Laceration without foreign body of right buttock, initial encounter",,,true,,,
S31.811D,"Laceration without foreign body of right buttock, subsequent encounter",,,true,,,
S31.811S,"Laceration without foreign body of right buttock, sequela",,,true,,,
S31.812A,"Laceration with foreign body of right buttock, initial encounter",,,true,,,
S31.812D,"Laceration with foreign body of right buttock, subsequent encounter",,,true,,,
S31.812S,"Laceration with foreign body of right buttock, sequela",,,true,,,
S31.813A,"Puncture wound without foreign body of right buttock, initial encounter",,,true,,,
S31.813D,"Puncture wound without foreign body of right buttock, subsequent encounter",,,true,,,
S31.813S,"Puncture wound without foreign body of right buttock, sequela",,,true,,,
S31.814A,"Puncture wound with foreign body of right buttock, initial encounter",,,true,,,
S31.814D,"Puncture wound with foreign body of right buttock, subsequent encounter",,,true,,,
S31.814S,"Puncture wound with foreign body of right buttock, sequela",,,true,,,
S31.815A,"Open bite of right buttock, initial encounter",,,true,,,
S31.815D,"Open bite of right buttock, subsequent encounter",,,true,,,
S31.815S,"Open bite of right buttock, sequela",,,true,,,
S31.819A,"Unspecified open wound of right buttock, initial encounter",,,true,,,
S31.819D,"Unspecified open wound of right buttock, subsequent encounter",,,true,,,
S31.819S,"Unspecified open wound of right buttock, sequela",,,true,,,
S31.821A,"Laceration without foreign body of left buttock, initial encounter",,,true,,,
S31.821D,"Laceration without foreign body of left buttock, subsequent encounter",,,true,,,
S31.821S,"Laceration without foreign body of left buttock, sequela",,,true,,,
S31.822A,"Laceration with foreign body of left buttock, initial encounter",,,true,,,
S31.822D,"Laceration with foreign body of left buttock, subsequent encounter",,,true,,,
S31.822S,"Laceration with foreign body of left buttock, sequela",,,true,,,
S31.823A,"Puncture wound without foreign body of left buttock, initial encounter",,,true,,,
S31.823D,"Puncture wound without foreign body of left buttock, subsequent encounter",,,true,,,
S31.823S,"Puncture wound without foreign body of left buttock, sequela",,,true,,,
S31.824A,"Puncture wound with foreign body of left buttock, initial encounter",,,true,,,
S31.824D,"Puncture wound with foreign body of left buttock, subsequent encounter",,,true,,,
S31.824S,"Puncture wound with foreign body of left buttock, sequela",,,true,,,
S31.825A,"Open bite of left buttock, initial encounter",,,true,,,
S31.825D,"Open bite of left buttock, subsequent encounter",,,true,,,
S31.825S,"Open bite of left buttock, sequela",,,true,,,
S31.829A,"Unspecified open wound of left buttock, initial encounter",,,true,,,
S31.829D,"Unspecified open wound of left buttock, subsequent encounter",,,true,,,
S31.829S,"Unspecified open wound of left buttock, sequela",,,true,,,
S31.831A,"Laceration without foreign body of anus, initial encounter",,,true,,,
S31.831D,"Laceration without foreign body of anus, subsequent encounter",,,true,,,
S31.831S,"Laceration without foreign body of anus, sequela",,,true,,,
S31.832A,"Laceration with foreign body of anus, initial encounter",,,true,,,
S31.832D,"Laceration with foreign body of anus, subsequent encounter",,,true,,,
S31.832S,"Laceration with foreign body of anus, sequela",,,true,,,
S31.833A,"Puncture wound without foreign body of anus, initial encounter",,,true,,,
S31.833D,"Puncture wound without foreign body of anus, subsequent encounter",,,true,,,
S31.833S,"Puncture wound without foreign body of anus, sequela",,,true,,,
S31.834A,"Puncture wound with foreign body of anus, initial encounter",,,true,,,
S31.834D,"Puncture wound with foreign body of anus, subsequent encounter",,,true,,,
S31.834S,"Puncture wound with foreign body of anus, sequela",,,true,,,
S31.835A,"Open bite of anus, initial encounter",,,true,,,
S31.835D,"Open bite of anus, subsequent encounter",,,true,,,
S31.835S,"Open bite of anus, sequela",,,true,,,
S31.839A,"Unspecified open wound of anus, initial encounter",,,true,,,
S31.839D,"Unspecified open wound of anus, subsequent encounter",,,true,,,
S31.839S,"Unspecified open wound of anus, sequela",,,true,,,
S32.000A,"Wedge compression fracture of unspecified lumbar vertebra, initial encounter for closed fracture",169,401,true,,,
S32.000B,"Wedge compression fracture of unspecified lumbar vertebra, initial encounter for open fracture",169,401,true,,,
S32.000D,"Wedge compression fracture of unspecified lumbar vertebra, subsequent encounter for fracture with routine healing",,,true,,,
S32.000G,"Wedge compression fracture of unspecified lumbar vertebra, subsequent encounter for fracture with delayed healing",,,true,,,
S32.000K,"Wedge compression fracture of unspecified lumbar vertebra, subsequent encounter for fracture with nonunion",,,true,,,
S32.000S,"Wedge compression fracture of unspecified lumbar vertebra, sequela",,,true,,,
S32.001A,"Stable burst fracture of unspecified lumbar vertebra, initial encounter for closed fracture",169,401,true,,,
S32.001B,"Stable burst fracture of unspecified lumbar vertebra, initial encounter for open fracture",169,401,true,,,
S32.001D,"Stable burst fracture of unspecified lumbar vertebra, subsequent encounter for fracture with routine healing",,,true,,,
S32.001G,"Stable burst fracture of unspecified lumbar vertebra, subsequent encounter for fracture with delayed healing",,,true,,,
S32.001K,"Stable burst fracture of unspecified lumbar vertebra, subsequent encounter for fracture with nonunion",,,true,,,
S32.001S,"Stable burst fracture of unspecified lumbar vertebra, sequela",,,true,,,
S32.002A,"Unstable burst fracture of unspecified lumbar vertebra, initial encounter for closed fracture",169,401,true,,,
S32.002B,"Unstable burst fracture of unspecified lumbar vertebra, initial encounter for open fracture",169,401,true,,,
S32.002D,"Unstable burst fracture of unspecified lumbar vertebra, subsequent encounter for fracture with routine healing",,,true,,,
S32.002G,"Unstable burst fracture of unspecified lumbar vertebra, subsequent encounter for fracture with delayed healing",,,true,,,
S32.002K,"Unstable burst fracture of unspecified lumbar vertebra, subsequent encounter for fracture with nonunion",,,true,,,
S32.002S,"Unstable burst fracture of unspecified lumbar vertebra, sequela",,,true,,,
S32.008A,"Other fracture of unspecified lumbar vertebra, initial encounter for closed fracture",169,401,true,,,
S32.008B,"Other fracture of unspecified lumbar vertebra, initial encounter for open fracture",169,401,true,,,
S32.008D,"Other fracture of unspecified lumbar vertebra, subsequent encounter for fracture with routine healing",,,true,,,
S32.008G,"Other fracture of unspecified lumbar vertebra, subsequent encounter for fracture with delayed healing",,,true,,,
S32.008K,"Other fracture of unspecified lumbar vertebra, subsequent encounter for fracture with nonunion",,,true,,,
S32.008S,"Other fracture of unspecified lumbar vertebra, sequela",,,true,,,
S32.009A,"Unspecified fracture of unspecified lumbar vertebra, initial encounter for closed fracture",169,401,true,,,
S32.009B,"Unspecified fracture of unspecified lumbar vertebra, initial encounter for open fracture",169,401,true,,,
S32.009D,"Unspecified fracture of unspecified lumbar vertebra, subsequent encounter for fracture with routine healing",,,true,,,
S32.009G,"Unspecified fracture of unspecified lumbar vertebra, subsequent encounter for fracture with delayed healing",,,true,,,
S32.009K,"Unspecified fracture of unspecified lumbar vertebra, subsequent encounter for fracture with nonunion",,,true,,,
S32.009S,"Unspecified fracture of unspecified lumbar vertebra, sequela",,,true,,,
S32.010A,"Wedge compression fracture of first lumbar vertebra, initial encounter for closed fracture",169,401,true,,,
S32.010B,"Wedge compression fracture of first lumbar vertebra, initial encounter for open fracture",169,401,true,,,
S32.010D,"Wedge compression fracture of first lumbar vertebra, subsequent encounter for fracture with routine healing",,,true,,,
S32.010G,"Wedge compression fracture of first lumbar vertebra, subsequent encounter for fracture with delayed healing",,,true,,,
S32.010K,"Wedge compression fracture of first lumbar vertebra, subsequent encounter for fracture with nonunion",,,true,,,
S32.010S,"Wedge compression fracture of first lumbar vertebra, sequela",,,true,,,
S32.011A,"Stable burst fracture of first lumbar vertebra, initial encounter for closed fracture",169,401,true,,,
S32.011B,"Stable burst fracture of first lumbar vertebra, initial encounter for open fracture",169,401,true,,,
S32.011D,"Stable burst fracture of first lumbar vertebra, subsequent encounter for fracture with routine healing",,,true,,,
S32.011G,"Stable burst fracture of first lumbar vertebra, subsequent encounter for fracture with delayed healing",,,true,,,
S32.011K,"Stable burst fracture of first lumbar vertebra, subsequent encounter for fracture with nonunion",,,true,,,
S32.011S,"Stable burst fracture of first lumbar vertebra, sequela",,,true,,,
S32.012A,"Unstable burst fracture of first lumbar vertebra, initial encounter for closed fracture",169,401,true,,,
S32.012B,"Unstable burst fracture of first lumbar vertebra, initial encounter for open fracture",169,401,true,,,
S32.012D,"Unstable burst fracture of first lumbar vertebra, subsequent encounter for fracture with routine healing",,,true,,,
S32.012G,"Unstable burst fracture of first lumbar vertebra, subsequent encounter for fracture with delayed healing",,,true,,,
S32.012K,"Unstable burst fracture of first lumbar vertebra, subsequent encounter for fracture with nonunion",,,true,,,
S32.012S,"Unstable burst fracture of first lumbar vertebra, sequela",,,true,,,
S32.018A,"Other fracture of first lumbar vertebra, initial encounter for closed fracture",169,401,true,,,
S32.018B,"Other fracture of first lumbar vertebra, initial encounter for open fracture",169,401,true,,,
S32.018D,"Other fracture of first lumbar vertebra, subsequent encounter for fracture with routine healing",,,true,,,
S32.018G,"Other fracture of first lumbar vertebra, subsequent encounter for fracture with delayed healing",,,true,,,
S32.018K,"Other fracture of first lumbar vertebra, subsequent encounter for fracture with nonunion",,,true,,,
S32.018S,"Other fracture of first lumbar vertebra, sequela",,,true,,,
S32.019A,"Unspecified fracture of first lumbar vertebra, initial encounter for closed fracture",169,401,true,,,
S32.019B,"Unspecified fracture of first lumbar vertebra, initial encounter for open fracture",169,401,true,,,
S32.019D,"Unspecified fracture of first lumbar vertebra, subsequent encounter for fracture with routine healing",,,true,,,
S32.019G,"Unspecified fracture of first lumbar vertebra, subsequent encounter for fracture with delayed healing",,,true,,,
S32.019K,"Unspecified fracture of first lumbar vertebra, subsequent encounter for fracture with nonunion",,,true,,,
S32.019S,"Unspecified fracture of first lumbar vertebra, sequela",,,true,,,
S32.020A,"Wedge compression fracture of second lumbar vertebra, initial encounter for closed fracture",169,401,true,,,
S32.020B,"Wedge compression fracture of second lumbar vertebra, initial encounter for open fracture",169,401,true,,,
S32.020D,"Wedge compression fracture of second lumbar vertebra, subsequent encounter for fracture with routine healing",,,true,,,
S32.020G,"Wedge compression fracture of second lumbar vertebra, subsequent encounter for fracture with delayed healing",,,true,,,
S32.020K,"Wedge compression fracture of second lumbar vertebra, subsequent encounter for fracture with nonunion",,,true,,,
S32.020S,"Wedge compression fracture of second lumbar vertebra, sequela",,,true,,,
S32.021A,"Stable burst fracture of second lumbar vertebra, initial encounter for closed fracture",169,401,true,,,
S32.021B,"Stable burst fracture of second lumbar vertebra, initial encounter for open fracture",169,401,true,,,
S32.021D,"Stable burst fracture of second lumbar vertebra, subsequent encounter for fracture with routine healing",,,true,,,
S32.021G,"Stable burst fracture of second lumbar vertebra, subsequent encounter for fracture with delayed healing",,,true,,,
S32.021K,"Stable burst fracture of second lumbar vertebra, subsequent encounter for fracture with nonunion",,,true,,,
S32.021S,"Stable burst fracture of second lumbar vertebra, sequela",,,true,,,
S32.022A,"Unstable burst fracture of second lumbar vertebra, initial encounter for closed fracture",169,401,true,,,
S32.022B,"Unstable burst fracture of second lumbar vertebra, initial encounter for open fracture",169,401,true,,,
S32.022D,"Unstable burst fracture of second lumbar vertebra, subsequent encounter for fracture with routine healing",,,true,,,
S32.022G,"Unstable burst fracture of second lumbar vertebra, subsequent encounter for fracture with delayed healing",,,true,,,
S32.022K,"Unstable burst fracture of second lumbar vertebra, subsequent encounter for fracture with nonunion",,,true,,,
S32.022S,"Unstable burst fracture of second lumbar vertebra, sequela",,,true,,,
S32.028A,"Other fracture of second lumbar vertebra, initial encounter for closed fracture",169,401,true,,,
S32.028B,"Other fracture of second lumbar vertebra, initial encounter for open fracture",169,401,true,,,
S32.028D,"Other fracture of second lumbar vertebra, subsequent encounter for fracture with routine healing",,,true,,,
S32.028G,"Other fracture of second lumbar vertebra, subsequent encounter for fracture with delayed healing",,,true,,,
S32.028K,"Other fracture of second lumbar vertebra, subsequent encounter for fracture with nonunion",,,true,,,
S32.028S,"Other fracture of second lumbar vertebra, sequela",,,true,,,
S32.029A,"Unspecified fracture of second lumbar vertebra, initial encounter for closed fracture",169,401,true,,,
S32.029B,"Unspecified fracture of second lumbar vertebra, initial encounter for open fracture",169,401,true,,,
S32.029D,"Unspecified fracture of second lumbar vertebra, subsequent encounter for fracture with routine healing",,,true,,,
S32.029G,"Unspecified fracture of second lumbar vertebra, subsequent encounter for fracture with delayed healing",,,true,,,
S32.029K,"Unspecified fracture of second lumbar vertebra, subsequent encounter for fracture with nonunion",,,true,,,
S32.029S,"Unspecified fracture of second lumbar vertebra, sequela",,,true,,,
S32.030A,"Wedge compression fracture of third lumbar vertebra, initial encounter for closed fracture",169,401,true,,,
S32.030B,"Wedge compression fracture of third lumbar vertebra, initial encounter for open fracture",169,401,true,,,
S32.030D,"Wedge compression fracture of third lumbar vertebra, subsequent encounter for fracture with routine healing",,,true,,,
S32.030G,"Wedge compression fracture of third lumbar vertebra, subsequent encounter for fracture with delayed healing",,,true,,,
S32.030K,"Wedge compression fracture of third lumbar vertebra, subsequent encounter for fracture with nonunion",,,true,,,
S32.030S,"Wedge compression fracture of third lumbar vertebra, sequela",,,true,,,
S32.031A,"Stable burst fracture of third lumbar vertebra, initial encounter for closed fracture",169,401,true,,,
S32.031B,"Stable burst fracture of third lumbar vertebra, initial encounter for open fracture",169,401,true,,,
S32.031D,"Stable burst fracture of third lumbar vertebra, subsequent encounter for fracture with routine healing",,,true,,,
S32.031G,"Stable burst fracture of third lumbar vertebra, subsequent encounter for fracture with delayed healing",,,true,,,
S32.031K,"Stable burst fracture of third lumbar vertebra, subsequent encounter for fracture with nonunion",,,true,,,
S32.031S,"Stable burst fracture of third lumbar vertebra, sequela",,,true,,,
S32.032A,"Unstable burst fracture of third lumbar vertebra, initial encounter for closed fracture",169,401,true,,,
S32.032B,"Unstable burst fracture of third lumbar vertebra, initial encounter for open fracture",169,401,true,,,
S32.032D,"Unstable burst fracture of third lumbar vertebra, subsequent encounter for fracture with routine healing",,,true,,,
S32.032G,"Unstable burst fracture of third lumbar vertebra, subsequent encounter for fracture with delayed healing",,,true,,,
S32.032K,"Unstable burst fracture of third lumbar vertebra, subsequent encounter for fracture with nonunion",,,true,,,
S32.032S,"Unstable burst fracture of third lumbar vertebra, sequela",,,true,,,
S32.038A,"Other fracture of third lumbar vertebra, initial encounter for closed fracture",169,401,true,,,
S32.038B,"Other fracture of third lumbar vertebra, initial encounter for open fracture",169,401,true,,,
S32.038D,"Other fracture of third lumbar vertebra, subsequent encounter for fracture with routine healing",,,true,,,
S32.038G,"Other fracture of third lumbar vertebra, subsequent encounter for fracture with delayed healing",,,true,,,
S32.038K,"Other fracture of third lumbar vertebra, subsequent encounter for fracture with nonunion",,,true,,,
S32.038S,"Other fracture of third lumbar vertebra, sequela",,,true,,,
S32.039A,"Unspecified fracture of third lumbar vertebra, initial encounter for closed fracture",169,401,true,,,
S32.039B,"Unspecified fracture of third lumbar vertebra, initial encounter for open fracture",169,401,true,,,
S32.039D,"Unspecified fracture of third lumbar vertebra, subsequent encounter for fracture with routine healing",,,true,,,
S32.039G,"Unspecified fracture of third lumbar vertebra, subsequent encounter for fracture with delayed healing",,,true,,,
S32.039K,"Unspecified fracture of third lumbar vertebra, subsequent encounter for fracture with nonunion",,,true,,,
S32.039S,"Unspecified fracture of third lumbar vertebra, sequela",,,true,,,
S32.040A,"Wedge compression fracture of fourth lumbar vertebra, initial encounter for closed fracture",169,401,true,,,
S32.040B,"Wedge compression fracture of fourth lumbar vertebra, initial encounter for open fracture",169,401,true,,,
S32.040D,"Wedge compression fracture of fourth lumbar vertebra, subsequent encounter for fracture with routine healing",,,true,,,
S32.040G,"Wedge compression fracture of fourth lumbar vertebra, subsequent encounter for fracture with delayed healing",,,true,,,
S32.040K,"Wedge compression fracture of fourth lumbar vertebra, subsequent encounter for fracture with nonunion",,,true,,,
S32.040S,"Wedge compression fracture of fourth lumbar vertebra, sequela",,,true,,,
S32.041A,"Stable burst fracture of fourth lumbar vertebra, initial encounter for closed fracture",169,401,true,,,
S32.041B,"Stable burst fracture of fourth lumbar vertebra, initial encounter for open fracture",169,401,true,,,
S32.041D,"Stable burst fracture of fourth lumbar vertebra, subsequent encounter for fracture with routine healing",,,true,,,
S32.041G,"Stable burst fracture of fourth lumbar vertebra, subsequent encounter for fracture with delayed healing",,,true,,,
S32.041K,"Stable burst fracture of fourth lumbar vertebra, subsequent encounter for fracture with nonunion",,,true,,,
S32.041S,"Stable burst fracture of fourth lumbar vertebra, sequela",,,true,,,
S32.042A,"Unstable burst fracture of fourth lumbar vertebra, initial encounter for closed fracture",169,401,true,,,
S32.042B,"Unstable burst fracture of fourth lumbar vertebra, initial encounter for open fracture",169,401,true,,,
S32.042D,"Unstable burst fracture of fourth lumbar vertebra, subsequent encounter for fracture with routine healing",,,true,,,
S32.042G,"Unstable burst fracture of fourth lumbar vertebra, subsequent encounter for fracture with delayed healing",,,true,,,
S32.042K,"Unstable burst fracture of fourth lumbar vertebra, subsequent encounter for fracture with nonunion",,,true,,,
S32.042S,"Unstable burst fracture of fourth lumbar vertebra, sequela",,,true,,,
S32.048A,"Other fracture of fourth lumbar vertebra, initial encounter for closed fracture",169,401,true,,,
S32.048B,"Other fracture of fourth lumbar vertebra, initial encounter for open fracture",169,401,true,,,
S32.048D,"Other fracture of fourth lumbar vertebra, subsequent encounter for fracture with routine healing",,,true,,,
S32.048G,"Other fracture of fourth lumbar vertebra, subsequent encounter for fracture with delayed healing",,,true,,,
S32.048K,"Other fracture of fourth lumbar vertebra, subsequent encounter for fracture with nonunion",,,true,,,
S32.048S,"Other fracture of fourth lumbar vertebra, sequela",,,true,,,
S32.049A,"Unspecified fracture of fourth lumbar vertebra, initial encounter for closed fracture",169,401,true,,,
S32.049B,"Unspecified fracture of fourth lumbar vertebra, initial encounter for open fracture",169,401,true,,,
S32.049D,"Unspecified fracture of fourth lumbar vertebra, subsequent encounter for fracture with routine healing",,,true,,,
S32.049G,"Unspecified fracture of fourth lumbar vertebra, subsequent encounter for fracture with delayed healing",,,true,,,
S32.049K,"Unspecified fracture of fourth lumbar vertebra, subsequent encounter for fracture with nonunion",,,true,,,
S32.049S,"Unspecified fracture of fourth lumbar vertebra, sequela",,,true,,,
S32.050A,"Wedge compression fracture of fifth lumbar vertebra, initial encounter for closed fracture",169,401,true,,,
S32.050B,"Wedge compression fracture of fifth lumbar vertebra, initial encounter for open fracture",169,401,true,,,
S32.050D,"Wedge compression fracture of fifth lumbar vertebra, subsequent encounter for fracture with routine healing",,,true,,,
S32.050G,"Wedge compression fracture of fifth lumbar vertebra, subsequent encounter for fracture with delayed healing",,,true,,,
S32.050K,"Wedge compression fracture of fifth lumbar vertebra, subsequent encounter for fracture with nonunion",,,true,,,
S32.050S,"Wedge compression fracture of fifth lumbar vertebra, sequela",,,true,,,
S32.051A,"Stable burst fracture of fifth lumbar vertebra, initial encounter for closed fracture",169,401,true,,,
S32.051B,"Stable burst fracture of fifth lumbar vertebra, initial encounter for open fracture",169,401,true,,,
S32.051D,"Stable burst fracture of fifth lumbar vertebra, subsequent encounter for fracture with routine healing",,,true,,,
S32.051G,"Stable burst fracture of fifth lumbar vertebra, subsequent encounter for fracture with delayed healing",,,true,,,
S32.051K,"Stable burst fracture of fifth lumbar vertebra, subsequent encounter for fracture with nonunion",,,true,,,
S32.051S,"Stable burst fracture of fifth lumbar vertebra, sequela",,,true,,,
S32.052A,"Unstable burst fracture of fifth lumbar vertebra, initial encounter for closed fracture",169,401,true,,,
S32.052B,"Unstable burst fracture of fifth lumbar vertebra, initial encounter for open fracture",169,401,true,,,
S32.052D,"Unstable burst fracture of fifth lumbar vertebra, subsequent encounter for fracture with routine healing",,,true,,,
S32.052G,"Unstable burst fracture of fifth lumbar vertebra, subsequent encounter for fracture with delayed healing",,,true,,,
S32.052K,"Unstable burst fracture of fifth lumbar vertebra, subsequent encounter for fracture with nonunion",,,true,,,
S32.052S,"Unstable burst fracture of fifth lumbar vertebra, sequela",,,true,,,
S32.058A,"Other fracture of fifth lumbar vertebra, initial encounter for closed fracture",169,401,true,,,
S32.058B,"Other fracture of fifth lumbar vertebra, initial encounter for open fracture",169,401,true,,,
S32.058D,"Other fracture of fifth lumbar vertebra, subsequent encounter for fracture with routine healing",,,true,,,
S32.058G,"Other fracture of fifth lumbar vertebra, subsequent encounter for fracture with delayed healing",,,true,,,
S32.058K,"Other fracture of fifth lumbar vertebra, subsequent encounter for fracture with nonunion",,,true,,,
S32.058S,"Other fracture of fifth lumbar vertebra, sequela",,,true,,,
S32.059A,"Unspecified fracture of fifth lumbar vertebra, initial encounter for closed fracture",169,401,true,,,
S32.059B,"Unspecified fracture of fifth lumbar vertebra, initial encounter for open fracture",169,401,true,,,
S32.059D,"Unspecified fracture of fifth lumbar vertebra, subsequent encounter for fracture with routine healing",,,true,,,
S32.059G,"Unspecified fracture of fifth lumbar vertebra, subsequent encounter for fracture with delayed healing",,,true,,,
S32.059K,"Unspecified fracture of fifth lumbar vertebra, subsequent encounter for fracture with nonunion",,,true,,,
S32.059S,"Unspecified fracture of fifth lumbar vertebra, sequela",,,true,,,
S32.10XA,"Unspecified fracture of sacrum, initial encounter for closed fracture",169,401,true,,,
S32.10XB,"Unspecified fracture of sacrum, initial encounter for open fracture",169,401,true,,,
S32.10XD,"Unspecified fracture of sacrum, subsequent encounter for fracture with routine healing",,,true,,,
S32.10XG,"Unspecified fracture of sacrum, subsequent encounter for fracture with delayed healing",,,true,,,
S32.10XK,"Unspecified fracture of sacrum, subsequent encounter for fracture with nonunion",,,true,,,
S32.10XS,"Unspecified fracture of sacrum, sequela",,,true,,,
S32.110A,"Nondisplaced Zone I fracture of sacrum, initial encounter for closed fracture",169,401,true,,,
S32.110B,"Nondisplaced Zone I fracture of sacrum, initial encounter for open fracture",169,401,true,,,
S32.110D,"Nondisplaced Zone I fracture of sacrum, subsequent encounter for fracture with routine healing",,,true,,,
S32.110G,"Nondisplaced Zone I fracture of sacrum, subsequent encounter for fracture with delayed healing",,,true,,,
S32.110K,"Nondisplaced Zone I fracture of sacrum, subsequent encounter for fracture with nonunion",,,true,,,
S32.110S,"Nondisplaced Zone I fracture of sacrum, sequela",,,true,,,
S32.111A,"Minimally displaced Zone I fracture of sacrum, initial encounter for closed fracture",169,401,true,,,
S32.111B,"Minimally displaced Zone I fracture of sacrum, initial encounter for open fracture",169,401,true,,,
S32.111D,"Minimally displaced Zone I fracture of sacrum, subsequent encounter for fracture with routine healing",,,true,,,
S32.111G,"Minimally displaced Zone I fracture of sacrum, subsequent encounter for fracture with delayed healing",,,true,,,
S32.111K,"Minimally displaced Zone I fracture of sacrum, subsequent encounter for fracture with nonunion",,,true,,,
S32.111S,"Minimally displaced Zone I fracture of sacrum, sequela",,,true,,,
S32.112A,"Severely displaced Zone I fracture of sacrum, initial encounter for closed fracture",169,401,true,,,
S32.112B,"Severely displaced Zone I fracture of sacrum, initial encounter for open fracture",169,401,true,,,
S32.112D,"Severely displaced Zone I fracture of sacrum, subsequent encounter for fracture with routine healing",,,true,,,
S32.112G,"Severely displaced Zone I fracture of sacrum, subsequent encounter for fracture with delayed healing",,,true,,,
S32.112K,"Severely displaced Zone I fracture of sacrum, subsequent encounter for fracture with nonunion",,,true,,,
S32.112S,"Severely displaced Zone I fracture of sacrum, sequela",,,true,,,
S32.119A,"Unspecified Zone I fracture of sacrum, initial encounter for closed fracture",169,401,true,,,
S32.119B,"Unspecified Zone I fracture of sacrum, initial encounter for open fracture",169,401,true,,,
S32.119D,"Unspecified Zone I fracture of sacrum, subsequent encounter for fracture with routine healing",,,true,,,
S32.119G,"Unspecified Zone I fracture of sacrum, subsequent encounter for fracture with delayed healing",,,true,,,
S32.119K,"Unspecified Zone I fracture of sacrum, subsequent encounter for fracture with nonunion",,,true,,,
S32.119S,"Unspecified Zone I fracture of sacrum, sequela",,,true,,,
S32.120A,"Nondisplaced Zone II fracture of sacrum, initial encounter for closed fracture",169,401,true,,,
S32.120B,"Nondisplaced Zone II fracture of sacrum, initial encounter for open fracture",169,401,true,,,
S32.120D,"Nondisplaced Zone II fracture of sacrum, subsequent encounter for fracture with routine healing",,,true,,,
S32.120G,"Nondisplaced Zone II fracture of sacrum, subsequent encounter for fracture with delayed healing",,,true,,,
S32.120K,"Nondisplaced Zone II fracture of sacrum, subsequent encounter for fracture with nonunion",,,true,,,
S32.120S,"Nondisplaced Zone II fracture of sacrum, sequela",,,true,,,
S32.121A,"Minimally displaced Zone II fracture of sacrum, initial encounter for closed fracture",169,401,true,,,
S32.121B,"Minimally displaced Zone II fracture of sacrum, initial encounter for open fracture",169,401,true,,,
S32.121D,"Minimally displaced Zone II fracture of sacrum, subsequent encounter for fracture with routine healing",,,true,,,
S32.121G,"Minimally displaced Zone II fracture of sacrum, subsequent encounter for fracture with delayed healing",,,true,,,
S32.121K,"Minimally displaced Zone II fracture of sacrum, subsequent encounter for fracture with nonunion",,,true,,,
S32.121S,"Minimally displaced Zone II fracture of sacrum, sequela",,,true,,,
S32.122A,"Severely displaced Zone II fracture of sacrum, initial encounter for closed fracture",169,401,true,,,
S32.122B,"Severely displaced Zone II fracture of sacrum, initial encounter for open fracture",169,401,true,,,
S32.122D,"Severely displaced Zone II fracture of sacrum, subsequent encounter for fracture with routine healing",,,true,,,
S32.122G,"Severely displaced Zone II fracture of sacrum, subsequent encounter for fracture with delayed healing",,,true,,,
S32.122K,"Severely displaced Zone II fracture of sacrum, subsequent encounter for fracture with nonunion",,,true,,,
S32.122S,"Severely displaced Zone II fracture of sacrum, sequela",,,true,,,
S32.129A,"Unspecified Zone II fracture of sacrum, initial encounter for closed fracture",169,401,true,,,
S32.129B,"Unspecified Zone II fracture of sacrum, initial encounter for open fracture",169,401,true,,,
S32.129D,"Unspecified Zone II fracture of sacrum, subsequent encounter for fracture with routine healing",,,true,,,
S32.129G,"Unspecified Zone II fracture of sacrum, subsequent encounter for fracture with delayed healing",,,true,,,
S32.129K,"Unspecified Zone II fracture of sacrum, subsequent encounter for fracture with nonunion",,,true,,,
S32.129S,"Unspecified Zone II fracture of sacrum, sequela",,,true,,,
S32.130A,"Nondisplaced Zone III fracture of sacrum, initial encounter for closed fracture",169,401,true,,,
S32.130B,"Nondisplaced Zone III fracture of sacrum, initial encounter for open fracture",169,401,true,,,
S32.130D,"Nondisplaced Zone III fracture of sacrum, subsequent encounter for fracture with routine healing",,,true,,,
S32.130G,"Nondisplaced Zone III fracture of sacrum, subsequent encounter for fracture with delayed healing",,,true,,,
