code,description,hcc_v24,hcc_v28,is_specific,parent,children
A18.54,"Tuberculous iridocyclitis",,,true,,,
A18.59,"Other tuberculosis of eye",,,true,,,
A18.6,"Tuberculosis of (inner) (middle) ear",,,true,,,
A18.7,"Tuberculosis of adrenal glands",,,true,,,
A18.81,"Tuberculosis of thyroid gland",,,true,,,
A18.82,"Tuberculosis of other endocrine glands",,,true,,,
A18.83,"Tuberculosis of digestive tract organs, not elsewhere classified",,,true,,,
A18.84,"Tuberculosis of heart",,,true,,,
A18.85,"Tuberculosis of spleen",,,true,,,
A18.89,"Tuberculosis of other sites",,,true,,,
A19.0,"Acute miliary tuberculosis of a single specified site",,,true,,,
A19.1,"Acute miliary tuberculosis of multiple sites",,,true,,,
A19.2,"Acute miliary tuberculosis, unspecified",,,true,,,
A19.8,"Other miliary tuberculosis",,,true,,,
A19.9,"Miliary tuberculosis, unspecified",,,true,,,
A20.0,"Bubonic plague",,,true,,,
A20.1,"Cellulocutaneous plague",,,true,,,
A20.2,"Pneumonic plague",115,,true,,,
A20.3,"Plague meningitis",,,true,,,
A20.7,"Septicemic plague",2,2,true,,,
A20.8,"Other forms of plague",,,true,,,
A20.9,"Plague, unspecified",,,true,,,
A21.0,"Ulceroglandular tularemia",,,true,,,
A21.1,"Oculoglandular tularemia",,,true,,,
A21.2,"Pulmonary tularemia",115,,true,,,
A21.3,"Gastrointestinal tularemia",,,true,,,
A21.7,"Generalized tularemia",,,true,,,
A21.8,"Other forms of tularemia",,,true,,,
A21.9,"Tularemia, unspecified",,,true,,,
A22.0,"Cutaneous anthrax",,,true,,,
A22.1,"Pulmonary anthrax",115,,true,,,
A22.2,"Gastrointestinal anthrax",,,true,,,
A22.7,"Anthrax sepsis",2,2,true,,,
A22.8,"Other forms of anthrax",,,true,,,
A22.9,"Anthrax, unspecified",,,true,,,
A23.0,"Brucellosis due to Brucella melitensis",,,true,,,
A23.1,"Brucellosis due to Brucella abortus",,,true,,,
A23.2,"Brucellosis due to Brucella suis",,,true,,,
A23.3,"Brucellosis due to Brucella canis",,,true,,,
A23.8,"Other brucellosis",,,true,,,
A23.9,"Brucellosis, unspecified",,,true,,,
A24.0,"Glanders",,,true,,,
A24.1,"Acute and fulminating melioidosis",,,true,,,
A24.2,"Subacute and chronic melioidosis",,,true,,,
A24.3,"Other melioidosis",,,true,,,
A24.9,"Melioidosis, unspecified",,,true,,,
A25.0,"Spirillosis",,,true,,,
A25.1,"Streptobacillosis",,,true,,,
A25.9,"Rat-bite fever, unspecified",,,true,,,
A26.0,"Cutaneous erysipeloid",,,true,,,
A26.7,"Erysipelothrix sepsis",2,2,true,,,
A26.8,"Other forms of erysipeloid",,,true,,,
A26.9,"Erysipeloid, unspecified",,,true,,,
A27.0,"Leptospirosis icterohemorrhagica",,,true,,,
A27.81,"Aseptic meningitis in leptospirosis",,,true,,,
A27.89,"Other forms of leptospirosis",,,true,,,
A27.9,"Leptospirosis, unspecified",,,true,,,
A28.0,"Pasteurellosis",,,true,,,
A28.1,"Cat-scratch disease",,,true,,,
A28.2,"Extraintestinal yersiniosis",,,true,,,
A28.8,"Other specified zoonotic bacterial diseases, not elsewhere classified",,,true,,,
A28.9,"Zoonotic bacterial disease, unspecified",,,true,,,
A30.0,"Indeterminate leprosy",,,true,,,
A30.1,"Tuberculoid leprosy",,,true,,,
A30.2,"Borderline tuberculoid leprosy",,,true,,,
A30.3,"Borderline leprosy",,,true,,,
A30.4,"Borderline lepromatous leprosy",,,true,,,
A30.5,"Lepromatous leprosy",,,true,,,
A30.8,"Other forms of leprosy",,,true,,,
A30.9,"Leprosy, unspecified",,,true,,,
A31.0,"Pulmonary mycobacterial infection",6,6,true,,,
A31.1,"Cutaneous mycobacterial infection",,,true,,,
A31.2,"Disseminated mycobacterium avium-intracellulare complex (DMAC)",6,6,true,,,
A31.8,"Other mycobacterial infections",,,true,,,
A31.9,"Mycobacterial infection, unspecified",,,true,,,
A32.0,"Cutaneous listeriosis",,,true,,,
A32.11,"Listerial meningitis",,,true,,,
A32.12,"Listerial meningoencephalitis",,,true,,,
A32.7,"Listerial sepsis",2,2,true,,,
A32.81,"Oculoglandular listeriosis",,,true,,,
A32.82,"Listerial endocarditis",,,true,,,
A32.89,"Other forms of listeriosis",,,true,,,
A32.9,"Listeriosis, unspecified",,,true,,,
A33,"Tetanus neonatorum",,,true,,,
A34,"Obstetrical tetanus",,,true,,,
A35,"Other tetanus",,,true,,,
A36.0,"Pharyngeal diphtheria",,,true,,,
A36.1,"Nasopharyngeal diphtheria",,,true,,,
A36.2,"Laryngeal diphtheria",,,true,,,
A36.3,"Cutaneous diphtheria",,,true,,,
A36.81,"Diphtheritic cardiomyopathy",85,227,true,,,
A36.82,"Diphtheritic radiculomyelitis",,,true,,,
A36.83,"Diphtheritic polyneuritis",,,true,,,
A36.84,"Diphtheritic tubulo-interstitial nephropathy",,,true,,,
A36.85,"Diphtheritic cystitis",,,true,,,
A36.86,"Diphtheritic conjunctivitis",,,true,,,
A36.89,"Other diphtheritic complications",,,true,,,
A36.9,"Diphtheria, unspecified",,,true,,,
A37.00,"Whooping cough due to Bordetella pertussis without pneumonia",,,true,,,
A37.01,"Whooping cough due to Bordetella pertussis with pneumonia",,,true,,,
A37.10,"Whooping cough due to Bordetella parapertussis without pneumonia",,,true,,,
A37.11,"Whooping cough due to Bordetella parapertussis with pneumonia",,,true,,,
A37.80,"Whooping cough due to other Bordetella species without pneumonia",,,true,,,
A37.81,"Whooping cough due to other Bordetella species with pneumonia",,,true,,,
A37.90,"Whooping cough, unspecified species without pneumonia",,,true,,,
A37.91,"Whooping cough, unspecified species with pneumonia",,,true,,,
A38.0,"Scarlet fever with otitis media",,,true,,,
A38.1,"Scarlet fever with myocarditis",,,true,,,
A38.8,"Scarlet fever with other complications",,,true,,,
A38.9,"Scarlet fever, uncomplicated",,,true,,,
A39.0,"Meningococcal meningitis",,,true,,,
A39.1,"Waterhouse-Friderichsen syndrome",23,,true,,,
A39.2,"Acute meningococcemia",2,2,true,,,
A39.3,"Chronic meningococcemia",2,2,true,,,
A39.4,"Meningococcemia, unspecified",2,2,true,,,
A39.50,"Meningococcal carditis, unspecified",,,true,,,
A39.51,"Meningococcal endocarditis",,,true,,,
A39.52,"Meningococcal myocarditis",,,true,,,
A39.53,"Meningococcal pericarditis",,,true,,,
A39.81,"Meningococcal encephalitis",,,true,,,
A39.82,"Meningococcal retrobulbar neuritis",,,true,,,
A39.83,"Meningococcal arthritis",39,92,true,,,
A39.84,"Postmeningococcal arthritis",39,92,true,,,
A39.89,"Other meningococcal infections",,,true,,,
A39.9,"Meningococcal infection, unspecified",,,true,,,
A40.0,"Sepsis due to streptococcus, group A",2,2,true,,,
A40.1,"Sepsis due to streptococcus, group B",2,2,true,,,
A40.3,"Sepsis due to Streptococcus pneumoniae",2,2,true,,,
A40.8,"Other streptococcal sepsis",2,2,true,,,
A40.9,"Streptococcal sepsis, unspecified",2,2,true,,,
A41.01,"Sepsis due to Methicillin susceptible Staphylococcus aureus",2,2,true,,,
A41.02,"Sepsis due to Methicillin resistant Staphylococcus aureus",2,2,true,,,
A41.1,"Sepsis due to other specified staphylococcus",2,2,true,,,
A41.2,"Sepsis due to unspecified staphylococcus",2,2,true,,,
A41.3,"Sepsis due to Hemophilus influenzae",2,2,true,,,
A41.4,"Sepsis due to anaerobes",2,2,true,,,
A41.50,"Gram-negative sepsis, unspecified",2,2,true,,,
A41.51,"Sepsis due to Escherichia coli [E. coli]",2,2,true,,,
A41.52,"Sepsis due to Pseudomonas",2,2,true,,,
A41.53,"Sepsis due to Serratia",2,2,true,,,
A41.54,"Sepsis due to Acinetobacter baumannii",2,2,true,,,
A41.59,"Other Gram-negative sepsis",2,2,true,,,
A41.81,"Sepsis due to Enterococcus",2,2,true,,,
A41.89,"Other specified sepsis",2,2,true,,,
A41.9,"Sepsis, unspecified organism",2,2,true,,,
A42.0,"Pulmonary actinomycosis",115,,true,,,
A42.1,"Abdominal actinomycosis",,,true,,,
A42.2,"Cervicofacial actinomycosis",,,true,,,
A42.7,"Actinomycotic sepsis",2,2,true,,,
A42.81,"Actinomycotic meningitis",,,true,,,
A42.82,"Actinomycotic encephalitis",,,true,,,
A42.89,"Other forms of actinomycosis",,,true,,,
A42.9,"Actinomycosis, unspecified",,,true,,,
A43.0,"Pulmonary nocardiosis",115,,true,,,
A43.1,"Cutaneous nocardiosis",,,true,,,
A43.8,"Other forms of nocardiosis",,,true,,,
A43.9,"Nocardiosis, unspecified",,,true,,,
A44.0,"Systemic bartonellosis",,,true,,,
A44.1,"Cutaneous and mucocutaneous bartonellosis",,,true,,,
A44.8,"Other forms of bartonellosis",,,true,,,
A44.9,"Bartonellosis, unspecified",,,true,,,
A46,"Erysipelas",,,true,,,
A48.0,"Gas gangrene",106,263,true,,,
A48.1,"Legionnaires' disease",114,282,true,,,
A48.2,"Nonpneumonic Legionnaires' disease [Pontiac fever]",,,true,,,
A48.3,"Toxic shock syndrome",2,2,true,,,
A48.4,"Brazilian purpuric fever",,,true,,,
A48.51,"Infant botulism",,,true,,,
A48.52,"Wound botulism",,,true,,,
A48.8,"Other specified bacterial diseases",,,true,,,
A49.01,"Methicillin susceptible Staphylococcus aureus infection, unspecified site",,,true,,,
A49.02,"Methicillin resistant Staphylococcus aureus infection, unspecified site",,,true,,,
A49.1,"Streptococcal infection, unspecified site",,,true,,,
A49.2,"Hemophilus influenzae infection, unspecified site",,,true,,,
A49.3,"Mycoplasma infection, unspecified site",,,true,,,
A49.8,"Other bacterial infections of unspecified site",,,true,,,
A49.9,"Bacterial infection, unspecified",,,true,,,
A50.01,"Early congenital syphilitic oculopathy",,,true,,,
A50.02,"Early congenital syphilitic osteochondropathy",,,true,,,
A50.03,"Early congenital syphilitic pharyngitis",,,true,,,
A50.04,"Early congenital syphilitic pneumonia",,,true,,,
A50.05,"Early congenital syphilitic rhinitis",,,true,,,
A50.06,"Early cutaneous congenital syphilis",,,true,,,
A50.07,"Early mucocutaneous congenital syphilis",,,true,,,
A50.08,"Early visceral congenital syphilis",,,true,,,
A50.09,"Other early congenital syphilis, symptomatic",,,true,,,
A50.1,"Early congenital syphilis, latent",,,true,,,
A50.2,"Early congenital syphilis, unspecified",,,true,,,
A50.30,"Late congenital syphilitic oculopathy, unspecified",,,true,,,
A50.31,"Late congenital syphilitic interstitial keratitis",,,true,,,
A50.32,"Late congenital syphilitic chorioretinitis",,,true,,,
A50.39,"Other late congenital syphilitic oculopathy",,,true,,,
A50.40,"Late congenital neurosyphilis, unspecified",,,true,,,
A50.41,"Late congenital syphilitic meningitis",,,true,,,
A50.42,"Late congenital syphilitic encephalitis",,,true,,,
A50.43,"Late congenital syphilitic polyneuropathy",,,true,,,
A50.44,"Late congenital syphilitic optic nerve atrophy",,,true,,,
A50.45,"Juvenile general paresis",,,true,,,
A50.49,"Other late congenital neurosyphilis",,,true,,,
A50.51,"Clutton's joints",,,true,,,
A50.52,"Hutchinson's teeth",,,true,,,
A50.53,"Hutchinson's triad",,,true,,,
A50.54,"Late congenital cardiovascular syphilis",,,true,,,
A50.55,"Late congenital syphilitic arthropathy",39,92,true,,,
A50.56,"Late congenital syphilitic osteochondropathy",,,true,,,
A50.57,"Syphilitic saddle nose",,,true,,,
A50.59,"Other late congenital syphilis, symptomatic",,,true,,,
A50.6,"Late congenital syphilis, latent",,,true,,,
A50.7,"Late congenital syphilis, unspecified",,,true,,,
A50.9,"Congenital syphilis, unspecified",,,true,,,
A51.0,"Primary genital syphilis",,,true,,,
A51.1,"Primary anal syphilis",,,true,,,
A51.2,"Primary syphilis of other sites",,,true,,,
A51.31,"Condyloma latum",,,true,,,
A51.32,"Syphilitic alopecia",,,true,,,
A51.39,"Other secondary syphilis of skin",,,true,,,
A51.41,"Secondary syphilitic meningitis",,,true,,,
A51.42,"Secondary syphilitic female pelvic disease",,,true,,,
A51.43,"Secondary syphilitic oculopathy",,,true,,,
A51.44,"Secondary syphilitic nephritis",,,true,,,
A51.45,"Secondary syphilitic hepatitis",,,true,,,
A51.46,"Secondary syphilitic osteopathy",,,true,,,
A51.49,"Other secondary syphilitic conditions",,,true,,,
A51.5,"Early syphilis, latent",,,true,,,
A51.9,"Early syphilis, unspecified",,,true,,,
A52.00,"Cardiovascular syphilis, unspecified",,,true,,,
A52.01,"Syphilitic aneurysm of aorta",,,true,,,
A52.02,"Syphilitic aortitis",,,true,,,
A52.03,"Syphilitic endocarditis",,,true,,,
A52.04,"Syphilitic cerebral arteritis",,,true,,,
A52.05,"Other cerebrovascular syphilis",,,true,,,
A52.06,"Other syphilitic heart involvement",,,true,,,
A52.09,"Other cardiovascular syphilis",,,true,,,
A52.10,"Symptomatic neurosyphilis, unspecified",,,true,,,
A52.11,"Tabes dorsalis",,,true,,,
A52.12,"Other cerebrospinal syphilis",,,true,,,
A52.13,"Late syphilitic meningitis",,,true,,,
A52.14,"Late syphilitic encephalitis",,,true,,,
A52.15,"Late syphilitic neuropathy",,,true,,,
A52.16,"Charcot's arthropathy (tabetic)",,,true,,,
A52.17,"General paresis",,,true,,,
A52.19,"Other symptomatic neurosyphilis",,,true,,,
A52.2,"Asymptomatic neurosyphilis",,,true,,,
A52.3,"Neurosyphilis, unspecified",,,true,,,
A52.71,"Late syphilitic oculopathy",,,true,,,
A52.72,"Syphilis of lung and bronchus",,,true,,,
A52.73,"Symptomatic late syphilis of other respiratory organs",,,true,,,
A52.74,"Syphilis of liver and other viscera",,,true,,,
A52.75,"Syphilis of kidney and ureter",,,true,,,
A52.76,"Other genitourinary symptomatic late syphilis",,,true,,,
A52.77,"Syphilis of bone and joint",,,true,,,
A52.78,"Syphilis of other musculoskeletal tissue",,,true,,,
A52.79,"Other symptomatic late syphilis",,,true,,,
A52.8,"Late syphilis, latent",,,true,,,
A52.9,"Late syphilis, unspecified",,,true,,,
A53.0,"Latent syphilis, unspecified as early or late",,,true,,,
A53.9,"Syphilis, unspecified",,,true,,,
A54.00,"Gonococcal infection of lower genitourinary tract, unspecified",,,true,,,
A54.01,"Gonococcal cystitis and urethritis, unspecified",,,true,,,
A54.02,"Gonococcal vulvovaginitis, unspecified",,,true,,,
A54.03,"Gonococcal cervicitis, unspecified",,,true,,,
A54.09,"Other gonococcal infection of lower genitourinary tract",,,true,,,
A54.1,"Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess",,,true,,,
A54.21,"Gonococcal infection of kidney and ureter",,,true,,,
A54.22,"Gonococcal prostatitis",,,true,,,
A54.23,"Gonococcal infection of other male genital organs",,,true,,,
A54.24,"Gonococcal female pelvic inflammatory disease",,,true,,,
A54.29,"Other gonococcal genitourinary infections",,,true,,,
A54.30,"Gonococcal infection of eye, unspecified",,,true,,,
A54.31,"Gonococcal conjunctivitis",,,true,,,
A54.32,"Gonococcal iridocyclitis",,,true,,,
A54.33,"Gonococcal keratitis",,,true,,,
A54.39,"Other gonococcal eye infection",,,true,,,
A54.40,"Gonococcal infection of musculoskeletal system, unspecified",39,92,true,,,
A54.41,"Gonococcal spondylopathy",39,92,true,,,
A54.42,"Gonococcal arthritis",39,92,true,,,
A54.43,"Gonococcal osteomyelitis",39,92,true,,,
A54.49,"Gonococcal infection of other musculoskeletal tissue",39,92,true,,,
A54.5,"Gonococcal pharyngitis",,,true,,,
A54.6,"Gonococcal infection of anus and rectum",,,true,,,
A54.81,"Gonococcal meningitis",,,true,,,
A54.82,"Gonococcal brain abscess",,,true,,,
A54.83,"Gonococcal heart infection",,,true,,,
A54.84,"Gonococcal pneumonia",115,,true,,,
A54.85,"Gonococcal peritonitis",33,78,true,,,
A54.86,"Gonococcal sepsis",2,2,true,,,
A54.89,"Other gonococcal infections",,,true,,,
A54.9,"Gonococcal infection, unspecified",,,true,,,
A55,"Chlamydial lymphogranuloma (venereum)",,,true,,,
A56.00,"Chlamydial infection of lower genitourinary tract, unspecified",,,true,,,
A56.01,"Chlamydial cystitis and urethritis",,,true,,,
A56.02,"Chlamydial vulvovaginitis",,,true,,,
A56.09,"Other chlamydial infection of lower genitourinary tract",,,true,,,
A56.11,"Chlamydial female pelvic inflammatory disease",,,true,,,
A56.19,"Other chlamydial genitourinary infection",,,true,,,
A56.2,"Chlamydial infection of genitourinary tract, unspecified",,,true,,,
A56.3,"Chlamydial infection of anus and rectum",,,true,,,
A56.4,"Chlamydial infection of pharynx",,,true,,,
